,id,name,lat,lon,symbol,distance,ascent
8517,9514512,Ob. Rüti - Ober Buchmatt,47.2249517,8.8889090,yellow::yellow_diamond,,
8518,9514513,Ober Buchmatt - Mooshöchi,47.2268974,8.8974344,yellow::yellow_diamond,,
8519,9514514,Mooshöchi - Katzenried,47.2286323,8.9081238,yellow::yellow_diamond,,
8520,9514546,Katzenried - Chürzi,47.2280144,8.9269698,yellow::yellow_diamond,,
8521,9514555,,47.2266056,8.9402859,yellow::yellow_diamond,,
8522,9514574,Wetzwil Kirche - Rütihof,47.3008894,8.6322991,yellow::yellow_diamond,,
8523,9514575,Rütihof - Forch,47.3152395,8.6470827,yellow::yellow_diamond,,
8524,9515851,,46.7518822,7.6879008,yellow::yellow_diamond,,
8525,9515852,,46.7503825,7.6902047,yellow::yellow_diamond,,
8526,9515853,,46.7445487,7.6819785,yellow::yellow_diamond,,
8527,9515854,,46.7409828,7.6817120,yellow::yellow_diamond,,
8528,9515855,Schwendi - Vesuv,46.7486710,7.6845519,yellow::yellow_diamond,,
8529,9515859,,46.7507682,7.6859962,yellow::yellow_diamond,,
8530,9515860,,46.7508851,7.6899422,yellow::yellow_diamond,,
8531,9515861,,46.7515255,7.6920221,yellow::yellow_diamond,,
8532,9515958,,46.7539787,7.6929469,yellow::yellow_diamond,,
8533,9515959,,46.7593670,7.7026963,yellow::yellow_diamond,,
8534,9515960,,46.7506720,7.7021236,yellow::yellow_diamond,,
8535,9515961,,46.7499191,7.7046800,yellow::yellow_diamond,,
8536,9515962,,46.7494016,7.7101892,yellow::yellow_diamond,,
8537,9515963,,46.7480505,7.7059011,yellow::yellow_diamond,,
8538,9515964,,46.7445927,7.7110508,yellow::yellow_diamond,,
8539,9515965,,46.7580088,7.7144831,yellow::yellow_diamond,,
8540,9515966,Blueme - Meiersmaad - FIXME,46.7515142,7.7201694,yellow::yellow_diamond,,
8541,9515967,,46.7452331,7.7231724,yellow::yellow_diamond,,
8542,9515969,,46.7366523,7.7119045,yellow::yellow_diamond,,
8543,9515970,,46.7427721,7.7046401,yellow::yellow_diamond,,
8544,9515971,,46.7452736,7.7096966,yellow::yellow_diamond,,
8545,9515972,,46.7430527,7.7034649,yellow::yellow_diamond,,
8546,9515973,,46.7404468,7.7181917,yellow::yellow_diamond,,
8547,9516055,,46.7375578,7.6831208,yellow::yellow_diamond,,
8548,9518115,Herrliberg Feldmeilen - Toggwil,47.2844896,8.6323251,yellow::yellow_diamond,,
8549,9518168,,47.3116895,8.9118401,yellow::yellow_diamond,,
8550,9518260,,47.4486660,8.3463224,yellow::yellow_diamond,,
8551,9518274,,47.4421889,8.3648862,yellow::yellow_diamond,,
8552,9518362,,46.2130416,8.8444357,red:white:red_bar,,
8553,9518363,,46.2107831,8.8377378,red:white:red_bar,,
8554,9518364,Mergoscia - Perbioi,46.2125695,8.8455914,yellow::yellow_diamond,,
8555,9518365,Al Passo - Mergoiscia,46.2066267,8.8383294,red:white:red_bar,,
8556,9518366,Al Passo - ?,46.2022216,8.8346468,red:white:red_bar,,
8557,9518367,Monti di Lego - Al Passo,46.2006672,8.8330523,red:white:red_bar,,
8558,9518383,Ponte di Corippo - Bivio di Corippo,46.2405187,8.8442633,yellow::yellow_diamond,,
8559,9518384,Corippo - Ponte di Corippo,46.2383678,8.8421642,yellow::yellow_diamond,,
8560,9518385,Oviga di Fuori - Ponte di Corippo,46.2471604,8.8429994,yellow::yellow_diamond,,
8561,9518386,Oviga di Fuori - ?,46.2530843,8.8425481,yellow::yellow_diamond,,
8562,9518387,Oviga - Oviga di Fuori,46.2565546,8.8385697,yellow::yellow_diamond,,
8563,9518430,Stavello - Odro,46.2262019,8.8769985,red:white:red_bar,,
8564,9518431,Colleta - ?,46.2201051,8.8812098,red:white:red_bar,,
8565,9518432,Colletta - Stavello,46.2227733,8.8712210,red:white:red_bar,,
8566,9518433,Vogorno - Colletta,46.2214757,8.8630761,red:white:red_bar,,
8567,9518434,Vogorno - Auto Postale,46.2223240,8.8583876,yellow::yellow_diamond,,
8568,9518435,Vogorno - S. Bartolomeo,46.2273475,8.8526683,yellow::yellow_diamond,,
8569,9521136,Costapiana - Corte Nuovo,46.2258005,8.8653417,red:white:red_bar,,
8570,9521137,Corte Nuovo - Alpe Bardughè,46.2336925,8.8688706,red:white:red_bar,,
8571,9521138,Alpe Bardughè - Pizzo di Vogorno,46.2405229,8.8827321,blue:white:blue_bar,,
8572,9521139,Odro - Alpe Bardughè,46.2332154,8.8760968,red:white:red_bar,,
8573,9521163,Vogorno - Costapiana,46.2214757,8.8615331,red:white:red_bar,,
8574,9521335,Bivio Fromighera - Alnasca,46.3112160,8.8010867,yellow::yellow_diamond,,
8575,9521336,Alnasca - Bivio Piee,46.2975342,8.7962176,yellow::yellow_diamond,,
8576,9521337,Bivio Piee - Ganne bus,46.2882763,8.7982732,yellow::yellow_diamond,,
8577,9521338,Ganne bus - Ganne,46.2836372,8.7996571,yellow::yellow_diamond,,
8578,9521339,Ganne - Motta,46.2790949,8.8039289,yellow::yellow_diamond,,
8579,9521340,Motta - Piano,46.2703999,8.8145825,yellow::yellow_diamond,,
8580,9521341,Piano - Oviga,46.2622702,8.8285955,yellow::yellow_diamond,,
8581,9521364,Frasco - Lorentino,46.3303529,8.8036201,yellow::yellow_diamond,,
8582,9521406,Sonogno - Froda,46.3492930,8.7790621,yellow::yellow_diamond,,
8583,9521407,Sonogno - Froda,46.3487358,8.7790487,red:white:red_bar,,
8584,9522535,,47.5624514,7.6410957,yellow::yellow_diamond,,
8585,9522536,,47.5662457,7.6501404,yellow::yellow_diamond,,
8586,9522537,,47.5623284,7.6587354,yellow::yellow_diamond,,
8587,9522538,,47.5648774,7.6557927,yellow::yellow_diamond,,
8588,9522539,,47.5649243,7.6701501,yellow::yellow_diamond,,
8589,9522540,,47.5684101,7.6684484,yellow::yellow_diamond,,
8590,9522541,,47.5679471,7.6805275,yellow::yellow_diamond,,
8591,9522542,,47.5687410,7.6766160,yellow::yellow_diamond,,
8592,9522668,,47.5762265,7.6803574,yellow::yellow_diamond,,
8593,9522669,,47.5928651,7.6811765,yellow::yellow_diamond,,
8594,9522670,In der Au - Riehen Grenze - FIXME,47.5894264,7.6624071,yellow::yellow_diamond,,
8595,9522671,,47.5837061,7.6592680,yellow::yellow_diamond,,
8596,9522672,,47.5862793,7.6783631,yellow::yellow_diamond,,
8597,9522673,,47.5849183,7.6706186,yellow::yellow_diamond,,
8598,9522674,,47.5836464,7.6611312,yellow::yellow_diamond,,
8599,9522675,,47.5786692,7.6768136,yellow::yellow_diamond,,
8600,9522676,,47.5718828,7.6720738,yellow::yellow_diamond,,
8601,9522677,,47.5766213,7.6749975,yellow::yellow_diamond,,
8602,9523821,,46.9920643,7.2523677,yellow::yellow_diamond,,
8603,9527232,,46.9046158,8.1480331,red:white:red_bar,,
8604,9527233,,46.9024450,8.1618342,red:white:red_bar,,
8605,9527234,,46.9074142,8.1645231,red:white:red_bar,,
8606,9527235,,46.9070524,8.1692152,red:white:red_bar,,
8607,9530908,Wolfetsmatt - Ritzenmatt,46.8978290,8.1631537,red:white:red_bar,,
8608,9530909,Ritzenmatt - Hohnegg,46.8905372,8.1536463,yellow::yellow_diamond,,
8609,9530910,Hohnegg - Langis,46.8901939,8.1369076,yellow::yellow_diamond,,
8610,9530911,Ochsenalp - Langis,46.8903668,8.1293753,red:white:red_bar,,
8611,9533393,,47.3232890,8.5498353,yellow::yellow_diamond,,
8612,9533394,,47.3229576,8.5417924,yellow::yellow_diamond,,
8613,9533395,Kilchberg Kirche - Nidelbad,47.3123357,8.5451251,yellow::yellow_diamond,,
8614,9533396,Nidelbad - Rüschlikon (Bahnhof),47.3075990,8.5520726,yellow::yellow_diamond,,
8615,9533397,,47.3083722,8.5561795,yellow::yellow_diamond,,
8616,9533398,,47.2867959,8.5538416,yellow::yellow_diamond,,
8617,9533399,,47.2962116,8.5665051,yellow::yellow_diamond,,
8618,9533452,Frasco - ?,46.3386671,8.8015329,yellow::yellow_diamond,,
8619,9533453,Bivio Fromighera - ?,46.3209406,8.8231013,red:white:red_bar,,
8620,9533454,Frasco - ?,46.3400356,8.8028816,red:white:red_bar,,
8621,9533455,Frasco - ?,46.3358172,8.8035337,yellow::yellow_diamond,,
8622,9533456,Lorentino - ?,46.3208836,8.8030096,yellow::yellow_diamond,,
8623,9533457,Bivio Fromighera - ?,46.3186792,8.8045733,yellow::yellow_diamond,,
8624,9533458,Alnasca - ?,46.2998000,8.8203787,red:white:red_bar,,
8625,9533459,Alnasca - ?,46.3040533,8.7959004,yellow::yellow_diamond,,
8626,9533460,Bivio Piee - Piee,46.2911950,8.7955824,yellow::yellow_diamond,,
8627,9533463,,46.2529737,8.8083859,red:white:red_bar,,
8628,9544167,,47.2792940,8.5797818,yellow::yellow_diamond,,
8629,9544168,,47.2782258,8.5775303,yellow::yellow_diamond,,
8630,9544177,,47.2731078,8.5691553,yellow::yellow_diamond,,
8631,9546277,Zollikon (Schiffstation) - Zollikon (Bahnhof),47.3383515,8.5686164,yellow::yellow_diamond,,
8632,9546278,Zollikon - Zollikerberg,47.3409072,8.5872774,yellow::yellow_diamond,,
8633,9550964,Castello Sasso Carbaro - Artore,46.1892635,9.0331221,red:white:red_bar,,
8634,9551195,Pian Laghetto - Monti di Artore,46.1884920,9.0482537,red:white:red_bar,,
8635,9551196,Artore - Pian Laghetto,46.1899415,9.0363102,red:white:red_bar,,
8636,9551197,Daro Passerella - Artore,46.1930228,9.0321264,red:white:red_bar,,
8637,9551198,Castello Sasso Carbaro - Pian Laghetto,46.1891783,9.0392320,red:white:red_bar,,
8638,9551199,Motto della Croce - Arbinetto - FIXME,46.1907104,9.0576163,red:white:red_bar,,
8639,9551251,Prada - Monti di Ravecchia,46.1810310,9.0445720,red:white:red_bar,,
8640,9551252,Prada - Ravecchia Ospedale - FIXME,46.1840745,9.0349144,red:white:red_bar,,
8641,9551253,Prada - Scarpapè - FIXME,46.1818792,9.0371008,red:white:red_bar,,
8642,9551254,Prada - Pian Laghetto,46.1857963,9.0395697,red:white:red_bar,,
8643,9562469,,46.6866980,9.6462179,red:white:red_bar,,
8644,9562473,,46.6921520,9.6344726,red:white:red_bar,,
8645,9563538,,47.3706007,8.4701197,yellow::yellow_diamond,,
8646,9563539,,47.3653868,8.4785275,yellow::yellow_diamond,,
8647,9563540,,47.3767056,8.4715266,yellow::yellow_diamond,,
8648,9564039,,47.0047465,8.4837075,yellow::yellow_diamond,,
8649,9564040,,46.9958361,8.4930711,yellow::yellow_diamond,,
8650,9564041,,46.9943208,8.4948508,yellow::yellow_diamond,,
8651,9564042,,46.9936115,8.5135599,yellow::yellow_diamond,,
8652,9564043,,46.9936115,8.5117802,yellow::yellow_diamond,,
8653,9564044,,46.9981181,8.5316967,red:white:red_bar,,
8654,9564045,,46.9924945,8.5191549,yellow::yellow_diamond,,
8655,9564046,Fluhegg - Gersau,46.9907805,8.5272357,yellow::yellow_diamond,,
8656,9564047,Fluhegg - Sellen,46.9908147,8.5331960,yellow::yellow_diamond,,
8657,9564048,Fluhegg - Mettlen,46.9926335,8.5353309,yellow::yellow_diamond,,
8658,9564049,Oberholz - Fluhegg,46.9916568,8.5425913,red:white:red_bar,,
8659,9564050,Brünichart - Oberholz,46.9961479,8.5624462,red:white:red_bar,,
8660,9564051,Brünichart - Bärfallen,47.0003625,8.5696372,red:white:red_bar,,
8661,9564052,LSB Urmiberg Brunnen - Brünichart,46.9996733,8.5809141,red:white:red_bar,,
8662,9564053,,46.9970859,8.5988005,yellow::yellow_diamond,,
8663,9564349,Wollishofen - Kilchberg Spital,47.3282890,8.5364493,yellow::yellow_diamond,,
8664,9564350,Kilchberg Spital - Sood Oberleimbach,47.3191566,8.5283761,yellow::yellow_diamond,,
8665,9564443,,47.2855240,8.5582808,yellow::yellow_diamond,,
8666,9564488,,47.2901590,8.5547395,yellow::yellow_diamond,,
8667,9570433,Nidelbad - Wildpark Höfli,47.3010680,8.5422228,yellow::yellow_diamond,,
8668,9571290,Schloss Uster - Uster,47.3477344,8.7169370,yellow::yellow_diamond,,
8669,9571913,Uster - Niederuster,47.3468814,8.7046333,yellow::yellow_diamond,,
8670,9572647,,46.6610505,9.6182042,red:white:red_bar,,
8671,9572650,,46.6623596,9.6368110,red:white:red_bar,,
8672,9573917,Niederuster - Oberuster,47.3457770,8.7121703,yellow::yellow_diamond,,
8673,9578019,Chessel - Safenwil,47.3263678,7.9734582,yellow::yellow_diamond,,
8674,9578020,Mülitäli Wildpark - Sälischlössli,47.3381702,7.9216293,yellow::yellow_diamond,,
8675,9578021,Mülitäli Wildpark - Engelberg,47.3385771,7.9347745,yellow::yellow_diamond,,
8676,9578022,Olten - Mülitäli Wildpark,47.3461566,7.9161022,yellow::yellow_diamond,,
8677,9578023,,47.3543333,7.9509365,yellow::yellow_diamond,,
8678,9578024,,47.3564590,7.9468010,yellow::yellow_diamond,,
8679,9578025,Dulliken - Engelberg,47.3452979,7.9449979,yellow::yellow_diamond,,
8680,9578026,Bergmatt - Rüti,47.3407784,7.9558583,yellow::yellow_diamond,,
8681,9578027,Däniken - Eich,47.3517093,7.9830879,yellow::yellow_diamond,,
8682,9578028,Eich - Höli,47.3427101,7.9860794,yellow::yellow_diamond,,
8683,9578029,Gretzenbach Weid - Tägermoos,47.3573990,8.0040755,yellow::yellow_diamond,,
8684,9578030,Riedbrunnen - Tann 502,47.3643535,8.0145201,yellow::yellow_diamond,,
8685,9578031,,47.3765966,8.0155365,yellow::yellow_diamond,,
8686,9578032,Distelberg - Gönert,47.3743360,8.0556911,yellow::yellow_diamond,,
8687,9578511,Wetzwil - Pfannenstiel Hochwacht,47.2950509,8.6536252,yellow::yellow_diamond,,
8688,9578668,Vorderpfannenstiel - Pfannenstiel Hochwacht,47.2880570,8.6784798,yellow::yellow_diamond,,
8689,9580975,,46.6648816,9.5957463,red:white:red_bar,,
